sdz2021_code,statistic,value
N21000180,"Education, Skills and Training Domain (Rank)",160
N21000180,Access to Services Domain (Rank),645
N21000181,Multiple Deprivation Measure (Rank),310
N21000181,Income Domain (Rank),396
N21000181,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,489
N21000181,Employment Domain (18-64 years) (Rank),271
N21000181,Proportion of the working age population who are employment deprived,592
N21000181,Health Deprivation and Disability Domain (Rank),228
N21000181,"Education, Skills and Training Domain (Rank)",203
N21000181,Access to Services Domain (Rank),661
N21000182,Multiple Deprivation Measure (Rank),784
N21000182,Income Domain (Rank),765
N21000182,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,190
N21000182,Employment Domain (18-64 years) (Rank),769
N21000182,Proportion of the working age population who are employment deprived,90
N21000182,Health Deprivation and Disability Domain (Rank),741
N21000182,"Education, Skills and Training Domain (Rank)",825
N21000182,Access to Services Domain (Rank),599
N21000183,Multiple Deprivation Measure (Rank),336
N21000183,Income Domain (Rank),380
N21000183,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,603
N21000183,Employment Domain (18-64 years) (Rank),330
N21000183,Proportion of the working age population who are employment deprived,614
N21000183,Health Deprivation and Disability Domain (Rank),268
N21000183,"Education, Skills and Training Domain (Rank)",265
N21000183,Access to Services Domain (Rank),626
N21000184,Multiple Deprivation Measure (Rank),791
N21000184,Income Domain (Rank),764
N21000184,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,108
N21000184,Employment Domain (18-64 years) (Rank),786
N21000184,Proportion of the working age population who are employment deprived,69
N21000184,Health Deprivation and Disability Domain (Rank),753
N21000184,"Education, Skills and Training Domain (Rank)",807
N21000184,Access to Services Domain (Rank),617
N21000185,Multiple Deprivation Measure (Rank),710
N21000185,Income Domain (Rank),789
N21000185,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,62
N21000185,Employment Domain (18-64 years) (Rank),632
N21000185,Proportion of the working age population who are employment deprived,234
N21000185,Health Deprivation and Disability Domain (Rank),583
N21000185,"Education, Skills and Training Domain (Rank)",620
N21000185,Access to Services Domain (Rank),523
N21000186,Multiple Deprivation Measure (Rank),544
N21000186,Income Domain (Rank),566
N21000186,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,413
N21000186,Employment Domain (18-64 years) (Rank),454
N21000186,Proportion of the working age population who are employment deprived,511
N21000186,Health Deprivation and Disability Domain (Rank),400
N21000186,"Education, Skills and Training Domain (Rank)",494
N21000186,Access to Services Domain (Rank),671
N21000187,Multiple Deprivation Measure (Rank),729
N21000187,Income Domain (Rank),771
N21000187,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,179
N21000187,Employment Domain (18-64 years) (Rank),687
N21000187,Proportion of the working age population who are employment deprived,195
N21000187,Health Deprivation and Disability Domain (Rank),654
N21000187,"Education, Skills and Training Domain (Rank)",758
N21000187,Access to Services Domain (Rank),539
N21000188,Multiple Deprivation Measure (Rank),254
N21000188,Income Domain (Rank),302
N21000188,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,655
N21000188,Employment Domain (18-64 years) (Rank),243
N21000188,Proportion of the working age population who are employment deprived,648
N21000188,Health Deprivation and Disability Domain (Rank),215
N21000188,"Education, Skills and Training Domain (Rank)",183
N21000188,Access to Services Domain (Rank),745
N21000189,Multiple Deprivation Measure (Rank),398
N21000189,Income Domain (Rank),482
N21000189,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,527
N21000189,Employment Domain (18-64 years) (Rank),339
N21000189,Proportion of the working age population who are employment deprived,535
N21000189,Health Deprivation and Disability Domain (Rank),284
N21000189,"Education, Skills and Training Domain (Rank)",483
N21000189,Access to Services Domain (Rank),705
N21000190,Multiple Deprivation Measure (Rank),453
N21000190,Income Domain (Rank),574
N21000190,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,279
N21000190,Employment Domain (18-64 years) (Rank),310
N21000190,Proportion of the working age population who are employment deprived,509
N21000190,Health Deprivation and Disability Domain (Rank),266
N21000190,"Education, Skills and Training Domain (Rank)",339
N21000190,Access to Services Domain (Rank),785
N21000191,Multiple Deprivation Measure (Rank),265
N21000191,Income Domain (Rank),321
N21000191,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,575
N21000191,Employment Domain (18-64 years) (Rank),252
N21000191,Proportion of the working age population who are employment deprived,577
N21000191,Health Deprivation and Disability Domain (Rank),221
N21000191,"Education, Skills and Training Domain (Rank)",192
N21000191,Access to Services Domain (Rank),783
N21000192,Multiple Deprivation Measure (Rank),19
N21000192,Income Domain (Rank),235
N21000192,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,581
N21000192,Employment Domain (18-64 years) (Rank),26
N21000192,Proportion of the working age population who are employment deprived,843
N21000192,Health Deprivation and Disability Domain (Rank),15
N21000192,"Education, Skills and Training Domain (Rank)",13
N21000192,Access to Services Domain (Rank),715
N21000193,Multiple Deprivation Measure (Rank),154
N21000193,Income Domain (Rank),282
N21000193,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,594
N21000193,Employment Domain (18-64 years) (Rank),112
N21000193,Proportion of the working age population who are employment deprived,724
N21000193,Health Deprivation and Disability Domain (Rank),113
N21000193,"Education, Skills and Training Domain (Rank)",231
N21000193,Access to Services Domain (Rank),836
N21000194,Multiple Deprivation Measure (Rank),89
N21000194,Income Domain (Rank),192
N21000194,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,741
N21000194,Employment Domain (18-64 years) (Rank),85
N21000194,Proportion of the working age population who are employment deprived,779
N21000194,Health Deprivation and Disability Domain (Rank),93
N21000194,"Education, Skills and Training Domain (Rank)",110
N21000194,Access to Services Domain (Rank),841
N21000195,Multiple Deprivation Measure (Rank),24
N21000195,Income Domain (Rank),22
N21000195,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,838
N21000195,Employment Domain (18-64 years) (Rank),45
N21000195,Proportion of the working age population who are employment deprived,802
N21000195,Health Deprivation and Disability Domain (Rank),47
N21000195,"Education, Skills and Training Domain (Rank)",24
N21000195,Access to Services Domain (Rank),819
N21000196,Multiple Deprivation Measure (Rank),14
N21000196,Income Domain (Rank),28
N21000196,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,825
N21000196,Employment Domain (18-64 years) (Rank),19
N21000196,Proportion of the working age population who are employment deprived,824
N21000196,Health Deprivation and Disability Domain (Rank),18
N21000196,"Education, Skills and Training Domain (Rank)",23
N21000196,Access to Services Domain (Rank),849
N21000197,Multiple Deprivation Measure (Rank),708
N21000197,Income Domain (Rank),813
N21000197,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,37
N21000197,Employment Domain (18-64 years) (Rank),658
N21000197,Proportion of the working age population who are employment deprived,196
N21000197,Health Deprivation and Disability Domain (Rank),467
N21000197,"Education, Skills and Training Domain (Rank)",415
N21000197,Access to Services Domain (Rank),741
N21000198,Multiple Deprivation Measure (Rank),33
